GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2010;05124;Wuppertal, kreisfreie Stadt;4451;4544;6205;8429;5478;4014;10993;10756;10046;10139;14083;15109;12973;10422;9956;18911;12356;4337;4297;5967;8122;5168;3868;11191;10571;9908;10389;13710;14718;12982;11393;10580;21747;21908
31.12.2010;05154;Kleve, Landkreis;3814;4040;6029;8766;5688;4120;9333;8391;8020;9045;13475;14320;12437;10663;8968;15348;9935;3545;3801;5797;8457;5474;3774;8788;8097;7891;8964;12982;13568;11888;10434;8912;16572;16471
31.12.2010;05158;Mettmann, Landkreis;5820;6214;9034;12652;7794;5524;13162;12127;12282;14201;20489;21570;19106;15944;14192;29992;19180;5653;6126;8547;12212;7372;5288;12377;12073;12613;14573;20789;21673;19553;17053;15718;34548;29704
31.12.2010;05162;Rhein-Kreis Neuss;5607;6001;8630;11870;7218;5131;12058;11232;11911;13018;19086;19743;17309;14466;12615;24556;15630;5511;5693;7967;11419;6903;4751;11645;11353;12117;13453;18931;19541;17374;15230;13686;27613;24018
31.12.2010;05166;Viersen, Landkreis;3480;3692;5619;8640;5609;3914;8575;7101;7012;8071;13188;14190;12258;10036;8489;16070;10356;3258;3644;5532;8128;5446;3620;7812;7087;7548;8907;13422;13886;12095;10273;8919;17941;16599
31.12.2010;05170;Wesel, Landkreis;5239;5687;8324;12241;8053;5947;13945;11590;11452;12702;18907;20772;19173;16667;13893;25205;17636;5051;5275;8024;11691;7597;5632;12848;11460;12069;13497;19750;21278;19418;17475;14432;28286;27403
31.12.2010;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2010;05314;Bonn, kreisfreie Stadt;4874;4789;5926;7639;4456;3229;10219;12064;11515;10594;13086;14384;11867;9270;7553;13935;10428;4607;4357;5645;7216;4187;3320;11934;13258;11854;10779;12849;14737;11744;9539;8225;16854;17966
31.12.2010;05315;Köln, kreisfreie Stadt;15084;13690;17095;21985;13233;9762;31402;38573;39578;36940;43333;42193;34117;26875;24558;48459;30542;14175;13040;16415;21077;12257;9586;35852;43060;41397;36001;40792;41075;33683;29578;27314;53994;50404
31.12.2010;05316;Leverkusen, kreisfreie Stadt;2070;2197;3096;4010;2510;1720;4526;4538;4421;4670;6767;6948;6028;4768;4053;9082;6413;2016;2029;2892;3850;2319;1758;4518;4606;4493;4730;6666;6849;5982;5177;4548;10634;9888
31.12.2010;05334;Städteregion Aachen, Landkreis;6975;6981;9948;13833;8731;6803;24625;21596;17358;16224;22254;27198;22320;17536;15070;27409;19168;6475;6688;9513;13286;8282;6321;19216;18334;16218;16024;21908;23510;20631;17898;15560;31069;30752
31.12.2010;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2010;05358;Düren, Landkreis;3293;3512;4971;7529;4923;3633;8519;7364;7307;8185;11556;12332;10837;9206;7694;13525;9114;2991;3140;4769;7254;4542;3231;7587;6843;7073;7754;10939;11463;10541;9166;7783;14676;14460
31.12.2010;05362;Rhein-Erft-Kreis;5901;6198;8672;12492;7419;5387;13332;12181;12352;13729;20367;21018;18245;15306;13538;25120;15863;5818;5803;8466;11991;7196;5148;12610;12079;12638;14462;20410;20588;17925;16070;14434;27496;23876
31.12.2010;05366;Euskirchen, Landkreis;2303;2418;3791;5511;3565;2504;5476;4847;4804;5380;8057;8627;7951;6786;5697;9884;6590;2167;2348;3522;5319;3322;2291;5049;4608;4799;5454;7847;8750;7710;6705;5606;10764;10510
31.12.2010;05370;Heinsberg, Landkreis;3114;3313;5031;7486;4758;3564;7981;6646;6504;7348;10655;11709;10625;8790;7169;12502;8516;2940;3169;4730;7131;4663;3295;7116;6585;6819;7674;10556;11367;10313;8623;7132;13728;13384
31.12.2010;05374;Oberbergischer Kreis;3524;3791;5702;8167;5366;3744;8833;7846;7616;7810;11207;12287;10849;9122;7437;14435;9720;3462;3619;5478;8109;5083;3493;7888;7425;7497;8221;11324;12059;10838;9290;7479;16002;16117
31.12.2010;05378;Rheinisch-Bergischer Kreis;3419;3756;5628;7957;4861;3331;7326;6268;6133;7337;11514;12493;10729;8714;7733;16258;11047;3368;3489;5251;7463;4655;3005;6839;5990;6493;8015;12264;12739;10950;9257;8455;18225;15965
31.12.2010;05382;Rhein-Sieg-Kreis;7822;8269;12124;17276;10735;7523;17383;15580;15186;17285;25363;27032;23488;19594;16613;32636;19940;7335;7694;11286;16509;10299;6922;16222;15181;16352;18056;25803;26954;23554;20194;17616;35242;29668
31.12.2010;05512;Bottrop, kreisfreie Stadt;1358;1363;2076;2973;1932;1434;3507;3095;3206;3494;4703;4867;4788;4085;3439;5942;4094;1251;1312;2033;2856;1796;1362;3280;3026;3144;3386;4682;5053;4776;4399;3658;6866;7535
31.12.2010;05513;Gelsenkirchen, kreisfreie Stadt;3258;3359;4692;6561;4274;3188;8364;7423;7364;8047;10382;10634;10021;8586;7418;12699;9181;3177;3167;4419;6374;3980;2994;7871;7167;7266;7832;9721;10112;9876;8965;7568;14825;17216
31.12.2010;05515;Münster, kreisfreie Stadt;3933;3651;4655;6398;3642;2792;10097;11948;9923;8939;11218;11927;9101;7524;5966;11339;8264;3681;3350;4563;6064;3722;3016;12332;13170;10298;9224;12167;12723;9780;8178;6735;14240;15243
31.12.2010;05554;Borken, Landkreis;5059;5466;8148;12037;7738;5429;12377;10929;10526;11773;16425;16545;13941;11500;9463;16503;10913;4952;5133;7796;11404;7249;5005;11198;10066;9908;11173;15385;15919;13458;11208;9105;18051;17851
31.12.2010;05558;Coesfeld, Landkreis;2687;2974;4543;7020;4445;3068;6867;5776;5629;6540;9411;9836;8807;7548;5955;10215;6668;2592;2835;4349;6804;4235;2898;6084;5438;5621;6521;9351;9991;8926;7380;5996;11325;11449
31.12.2010;05562;Recklinghausen, Landkreis;7203;7555;11383;16642;10674;7834;18858;16775;16455;18236;25180;26328;24979;21995;18927;32704;23612;6877;7194;10579;15700;10028;7415;17559;15892;16698;18932;25419;26217;25643;23193;19420;37412;39299
31.12.2010;05566;Steinfurt, Landkreis;5966;6349;9567;14183;9017;6179;14163;12212;11553;13475;19564;20552;16952;13788;11509;20911;13951;5555;5977;9111;13290;8189;5697;12754;11446;11433;13466;18821;19400;16451;13794;11432;23304;23346
31.12.2010;05570;Warendorf, Landkreis;3553;3973;5951;8566;5128;3611;8634;7680;7482;8293;12037;11881;10672;8823;7685;13584;9245;3389;3720;5785;8223;5081;3576;7760;6964;7360;8390;11218;11678;10551;9242;7628;15195;15587
31.12.2010;05711;Bielefeld, kreisfreie Stadt;4683;4560;6205;8223;4966;3586;10419;11410;10252;10145;12407;12868;10633;9040;7723;15933;11705;4312;4290;5753;7993;4847;3539;11649;11825;10397;10164;12168;12879;11418;9886;8538;18621;20233
31.12.2010;05754;Gütersloh, Landkreis;4842;5227;7660;10861;6703;4719;11409;10174;10213;10996;15159;15422;13547;10854;8873;17029;11352;4659;4805;7228;10463;6472;4237;9936;9518;9793;11119;14691;15193;13128;10966;9141;18859;18518
31.12.2010;05758;Herford, Landkreis;3235;3392;4816;7215;4450;3214;7399;6494;6556;7103;10009;10489;9460;7910;6674;12815;9507;3040;3270;4639;6815;4279;2808;7002;6458;6551;7489;9833;10359;9434;8174;7010;14572;16549
31.12.2010;05762;Höxter, Landkreis;1739;1955;2933;4378;2849;2032;4712;3946;3845;4141;5905;6391;5928;5124;4144;7579;5380;1679;1899;2784;4259;2646;1828;3942;3492;3586;4181;5758;6073;5575;4901;3997;8233;9326
31.12.2010;05766;Lippe, Landkreis;4706;4869;7268;10268;6508;4563;10984;9521;8818;9439;13465;14366;13188;11077;9568;18310;13665;4475;4802;6732;9776;6344;4455;9956;8972;9050;9910;13677;14169;13075;11571;9923;20875;22813
31.12.2010;05770;Minden-Lübbecke, Landkreis;4040;4442;6315;9244;5793;4101;9816;8500;8245;9089;12392;13220;12005;10004;8484;16091;11841;3936;4180;5937;8778;5612;3863;8643;8013;7947;9197;12198;12927;12097;10094;8529;18151;20429
31.12.2010;05774;Paderborn, Landkreis;4273;4375;6298;8959;5549;3821;10657;10235;9658;9714;12422;13019;11571;9533;7223;12731;8403;4043;4203;5945;8323;5296;3772;10206;9575;9347;9678;11794;12373;11267;9433;7204;14318;14598
31.12.2010;05911;Bochum, kreisfreie Stadt;4253;4197;5876;8156;5073;3888;12032;12861;11168;11432;15785;16820;14831;12839;10711;19231;13677;3917;3926;5587;7710;4735;3848;12591;12402;10785;10990;14840;15548;14340;12841;11153;22424;24270
31.12.2010;05913;Dortmund, kreisfreie Stadt;7390;7229;10287;14069;8777;6478;18765;19599;18115;17942;23429;24398;21941;19063;16235;30135;20843;7077;6902;9684;13226;8449;6226;18740;18898;17603;17113;21424;22782;21174;19401;16885;34776;35389
31.12.2010;05914;Hagen, kreisfreie Stadt;2283;2375;3628;4828;3154;2281;5804;5378;5095;5277;7236;7716;6850;6105;5209;10498;7154;2218;2194;3366;4801;3046;2320;5627;5117;5118;5328;7058;7501;7075;6302;5579;12396;12612
31.12.2010;05915;Hamm, kreisfreie Stadt;2382;2390;3485;5270;3332;2269;5750;5293;5852;6293;7564;7758;6611;5826;5083;9027;6253;2212;2316;3292;4989;3080;2101;5291;4999;5196;5496;6934;7082;6639;6088;5248;10022;10360
31.12.2010;05916;Herne, kreisfreie Stadt;1848;1996;2831;4045;2436;1834;4954;4610;4690;5418;7077;7298;6606;5636;4970;8586;6158;1799;1751;2732;3939;2482;1790;4649;4519;4436;4977;6374;6653;6214;5706;4893;9759;11096
31.12.2010;05954;Ennepe-Ruhr-Kreis;3656;3833;5702;8389;5253;3786;9294;8596;8245;9122;13709;14651;12878;11120;9964;18969;12702;3489;3733;5389;7769;4984;3601;8892;8418;8481;9497;13924;14695;13136;12013;10500;21908;21277
31.12.2010;05958;Hochsauerlandkreis;3219;3654;5485;7920;5197;3667;8152;7245;6653;7891;11114;11342;10283;8849;7471;13918;10181;3045;3346;5066;7336;4735;3304;7150;6640;6917;7779;10525;11035;10108;8803;7287;15859;16425
31.12.2010;05962;Märkischer Kreis;5343;5708;8261;12019;7772;5677;13676;11884;11220;12314;17812;19222;16680;14022;11888;23398;15015;4972;5419;7828;11422;7459;5403;12260;11166;10688;12241;17378;18291;16357;14462;12500;26481;24727
31.12.2010;05966;Olpe, Landkreis;1832;1966;2804;4269;2572;1875;4440;3943;3923;4294;6270;6373;5490;4600;3624;6627;4451;1595;1765;2665;3946;2533;1894;3908;3758;3885;4216;5752;5919;5131;4375;3459;7263;7544
31.12.2010;05970;Siegen-Wittgenstein, Landkreis;3442;3474;5082;7463;4841;3651;9572;8832;7928;8171;11431;12555;10890;9621;7949;14710;10125;3239;3288;4808;7110;4594;3389;9047;8019;7600;7888;10807;11499;10884;9577;8160;16531;16504
31.12.2010;05974;Soest, Landkreis;3775;4142;6005;8730;5425;3866;9361;8312;8164;9153;12840;13265;12013;10132;8367;15506;10362;3659;3937;5867;8238;5350;3772;8366;7783;8153;9176;12658;12964;11645;10084;8333;17374;17390
31.12.2010;05978;Unna, Landkreis;4753;4978;7594;11457;7197;5274;12501;11115;11058;11636;16668;17766;16570;14174;12247;21795;15007;4374;4713;7110;10628;6824;4863;11671;10324;10933;11884;16572;17517;16539;14839;12219;24533;24473
31.12.2010;06411;Darmstadt, kreisfreie Stadt;2210;2132;2481;3148;1693;1342;5591;6525;5502;4652;5915;6636;5575;4006;3752;6403;4617;2091;1960;2490;2968;1691;1336;4797;5695;5059;4609;5293;5831;4970;4286;3898;7399;7849
31.12.2010;06412;Frankfurt am Main, kreisfreie Stadt;10687;9854;11649;13597;7962;5546;18640;26079;29204;27886;30773;29697;24185;19657;18062;30136;19515;10519;9259;11138;13121;7275;5539;20306;28850;29961;25405;27683;28478;23209;20810;18555;33266;33161
31.12.2010;06413;Offenbach am Main, kreisfreie Stadt;1940;1870;2405;2962;1685;1283;3726;4458;4538;4664;5364;5105;4379;3580;3249;5700;3565;1880;1828;2248;2815;1652;1259;3956;4382;4349;4036;4431;4541;3985;3569;3346;6048;5637
31.12.2010;06414;Wiesbaden, kreisfreie Stadt;4264;3982;5113;6427;3779;2612;7602;8587;9292;9735;11993;11512;9689;7757;7400;13647;9304;4085;3773;4921;6137;3565;2781;8369;9843;9878;9628;11386;11527;9732;8623;7993;15833;15207
31.12.2010;06431;Bergstraße, Landkreis;3188;3274;4806;6976;4429;2968;7412;6731;6978;7639;11159;12006;10520;8917;7970;14434;9507;2895;3063;4501;6671;4270;2872;6826;6566;7047;7934;11055;11633;10512;9082;8388;15677;14744
31.12.2010;06432;Darmstadt-Dieburg, Landkreis;3656;3849;5438;7896;4825;3421;8402;7770;8011;8750;12738;14026;11539;9673;8835;15243;9279;3530;3629;5227;7432;4611;3164;7694;7508;8356;9058;12350;13172;11146;9874;9041;16084;13972
31.12.2010;06433;Groß-Gerau, Landkreis;3559;3451;4906;6725;4023;2764;7608;7780;8049;8384;11070;11551;9560;7942;7442;13569;8422;3403;3490;4609;6461;3842;2735;7232;7644;8206;8038;10423;10718;9080;8028;7590;14262;12321
31.12.2010;06434;Hochtaunuskreis;3045;3311;4672;6189;3566;2321;5224;5072;5622;6695;9952;9941;8378;6943;6625;13197;8616;2968;3140;4431;5876;3395;2246;5085;5272;6319;7452;10205;10364;8466;7366;7286;14657;13528
31.12.2010;06435;Main-Kinzig-Kreis;5064;5199;7591;10909;6670;4740;11626;11024;11373;12468;17519;18102;15879;13418;12346;22274;14109;4762;5046;7230;10202;6149;4511;11180;10883;11600;12736;16925;17401;15488;13847;12979;23815;22169
31.12.2010;06436;Main-Taunus-Kreis;3268;3498;4645;5889;3387;2218;5382;5707;6541;7337;10208;10039;8200;6778;6475;12806;8343;3019;3237;4385;5654;3177;2111;5138;5944;7039;7850;10420;10039;8480;7218;6963;14305;11698
31.12.2010;06437;Odenwaldkreis;1108;1176;1802;2614;1732;1215;3030;2588;2365;2765;3775;4067;3828;3477;3120;5365;3800;1080;1124;1639;2491;1673;1175;2704;2336;2537;2777;3719;4096;3794;3450;3092;5564;5954
31.12.2010;06438;Offenbach, Landkreis;4512;4625;6490;8627;5149;3469;9211;9361;9956;10814;14288;14957;12620;10746;10189;18682;12063;4249;4528;5960;8104;4917;3351;8948;9706;10328;10973;14021;14428;12380;11581;10949;20410;17469
31.12.2010;06439;Rheingau-Taunus-Kreis;2163;2375;3437;4924;2973;2037;4806;4385;4479;5403;8108;8480;7230;6084;5736;10519;6678;1998;2240;3316;4778;2826;1832;4362;4239;4834;5694;8054;8325;7229;6348;5948;11300;9985
31.12.2010;06440;Wetteraukreis;3793;3959;5647;8051;5013;3355;8373;7597;8023;9127;13179;13803;11655;10017;8835;15796;10354;3518;3759;5374;7996;4710;3222;7706;7666;8434;9450;12956;13237;11343;9948;8716;17057;16346
31.12.2010;06531;Gießen, Landkreis;3186;3120;4453;6317;4023;2975;9635;9156;7777;7471;9748;11488;9771;8254;7058;12018;8666;3054;3053;4235;5877;3598;2960;10683;9177;7550;7366;10020;11697;9821;8101;7262;12934;13969
31.12.2010;06532;Lahn-Dill-Kreis;3174;3372;4695;6940;4509;3132;7796;7008;6840;7343;10364;11164;9765;8198;7452;13388;9193;2933;3093;4517;6666;4410;2895;7127;6711;6836;7649;10151;10702;9556;8510;7497;14799;15168
31.12.2010;06533;Limburg-Weilburg, Landkreis;2128;2338;3360;4861;2924;2173;5101;4597;4615;4945;6907;7679;6796;5871;4902;8711;6039;2107;2122;3278;4663;2909;2041;4633;4438;4610;5034;7088;7351;6607;5837;4932;9420;9697
31.12.2010;06534;Marburg-Biedenkopf, Landkreis;3037;3156;4439;6450;3811;2928;9305;8745;7413;7476;9844;12073;9871;8028;6722;11607;8319;2913;2980;4195;6123;3791;2969;10742;8508;7033;7266;9740;11505;9530;7967;6676;12794;13124
31.12.2010;06535;Vogelsbergkreis;1130;1229;1810;2856;1840;1262;3095;2807;2678;3247;4351;4793;4668;4187;3550;5827;5076;1096;1205;1754;2730;1823;1232;2727;2489;2756;3235;4051;4551;4447;3887;3294;6232;7536
31.12.2010;06611;Kassel, kreisfreie Stadt;2560;2469;3243;4295;2497;2062;7201;7864;6414;5761;7366;7820;7080;5962;5343;9407;6565;2419;2343;3033;4115;2606;2114;8218;7324;6220;5656;7067;7911;7121;6161;5673;11153;12487
31.12.2010;06631;Fulda, Landkreis;2726;2918;4411;6387;4087;2750;6729;6319;6013;6445;9018;9298;8153;6939;5742;10769;7981;2610;2809;4161;6082;3820;2574;6609;6036;5967;6660;8549;9135;7967;6873;5941;11858;12919
31.12.2010;06632;Hersfeld-Rotenburg, Landkreis;1377;1579;2091;3119;1880;1469;3520;3270;3208;3574;4839;5121;4722;4376;3823;7089;5364;1291;1452;2043;2955;1875;1313;3082;2903;3057;3497;4705;4819;4644;4425;3781;7633;8337
31.12.2010;06633;Kassel, Landkreis;2602;2697;4111;6376;4043;2713;6301;5429;5539;6584;9721;10271;9089;8333;7725;14765;9184;2411;2668;4042;5845;3853;2570;5624;5324;5987;7037;9896;10028;9264;8475;8110;15419;14950
31.12.2010;06634;Schwalm-Eder-Kreis;2037;2285;3275;4835;3190;2290;5474;4781;4691;5345;7547;7912;7325;6454;5818;10150;7050;1996;2051;3031;4585;2998;2081;4792;4330;4688;5347;7338;7511;7124;6299;5591;10893;11508
31.12.2010;06635;Waldeck-Frankenberg, Landkreis;1849;2066;3017;4489;2841;2068;4825;4325;4009;4563;6682;7098;6384;5560;4852;8649;6512;1812;1894;2926;4157;2776;1909;4142;4018;4252;4715;6206;6602;6283;5505;4709;9615;10561
31.12.2010;06636;Werra-Meißner-Kreis;1054;1110;1728;2557;1715;1192;2820;2534;2467;2887;4166;4542;4218;3751;3391;6151;4544;1063;1093;1650;2424;1610;1120;2582;2377;2345;2880;3997;4322;4088;3647;3406;6816;7503
31.12.2010;07111;Koblenz, kreisfreie Stadt;1421;1326;1730;2330;1483;1065;3281;3876;3628;3207;4106;4101;3753;3322;2860;5633;4026;1328;1223;1569;2242;1424;1096;3621;3855;3380;3041;3888;4043;3784;3591;3237;6629;7318
31.12.2010;07131;Ahrweiler, Landkreis;1384;1452;2212;3452;2217;1514;3727;3193;2928;3240;5176;5887;5064;4428;3837;7291;5347;1277;1369;2139;3237;2106;1482;3354;2933;3070;3398;5157;5598;5035;4375;3862;8165;8537
31.12.2010;07132;Altenkirchen (Westerwald), Landkreis;1585;1736;2447;3758;2427;1775;4164;3553;3379;3774;5367;5827;5306;4609;3671;6924;5017;1488;1624;2259;3492;2253;1697;3730;3429;3302;3748;5068;5479;5012;4505;3794;7627;8126
31.12.2010;07133;Bad Kreuznach, Landkreis;1943;1909;2813;4252;2612;1886;4613;4080;4009;4428;6359;6763;6055;5536;4730;8408;5767;1859;1826;2739;3788;2417;1871;4092;4051;4050;4489;6060;6691;6188;5619;4863;9250;9528
31.12.2010;07134;Birkenfeld, Landkreis;946;984;1519;2216;1384;995;2478;2281;2051;2121;3030;3595;3458;3112;2621;4594;3611;908;922;1355;1887;1351;941;2258;2180;1973;2256;3067;3389;3356;3168;2463;5050;5723
31.12.2010;07135;Cochem-Zell, Landkreis;720;739;1212;1758;1062;851;1932;1785;1532;1681;2521;2747;2464;2267;1899;3565;2771;667;725;1121;1625;1062;694;1638;1495;1557;1707;2350;2543;2386;2222;1816;3889;4406
31.12.2010;07137;Mayen-Koblenz, Landkreis;2577;2616;3963;5608;3765;2586;6187;5619;5505;5925;8716;9289;8512;7571;6223;11029;7586;2404;2535;3754;5439;3302;2361;5730;5458;5646;6063;8541;9230;8414;7682;6089;11972;12372
31.12.2010;07138;Neuwied, Landkreis;2152;2346;3525;5198;3264;2329;5488;4522;4348;4862;7179;7839;7242;6371;5304;9541;7168;2095;2218;3274;4911;3103;2167;4896;4401;4527;5101;7079;7826;7241;6336;5247;10661;11234
31.12.2010;07140;Rhein-Hunsrück-Kreis;1200;1285;1881;2890;1782;1283;2990;2708;2652;2911;4053;4475;4130;3783;3076;5220;4014;1115;1173;1836;2682;1763;1274;2694;2618;2661;2961;4022;4320;4067;3660;2952;5728;6286
31.12.2010;07141;Rhein-Lahn-Kreis;1486;1457;2229;3336;2039;1477;3552;3204;3092;3494;4856;5434;4974;4360;4094;6961;4878;1272;1429;2075;3096;1920;1423;3194;3034;3148;3372;4767;5263;4956;4391;3940;7495;7903
31.12.2010;07143;Westerwaldkreis;2480;2686;3939;5689;3671;2611;6066;5457;5205;5978;8227;8912;7860;6727;5751;9997;7090;2414;2490;3837;5436;3431;2355;5459;5075;5339;5916;7890;8694;7535;6719;5559;10833;11252
31.12.2010;07211;Trier, kreisfreie Stadt;1365;1284;1637;2068;1303;1111;4777;4877;3682;3237;4017;4162;3531;2996;2335;4167;3353;1276;1152;1551;2028;1289;1232;6245;4907;3483;3047;4166;4286;3577;3098;2522;5349;6150
31.12.2010;07231;Bernkastel-Wittlich, Landkreis;1295;1356;2048;2967;1977;1391;3263;2991;2904;3376;4376;4894;4327;4163;3372;5772;4459;1288;1303;1939;2912;1910;1309;2849;2822;2959;3230;4103;4606;4265;3970;3178;6295;7204
31.12.2010;07232;Eifelkreis Bitburg-Prüm;1216;1260;1758;2705;1734;1201;2738;2696;2495;2766;3884;4266;3847;3436;2671;4532;3643;1081;1160;1663;2494;1639;1195;2590;2502;2407;2740;3554;4011;3570;3126;2506;4970;5952
31.12.2010;07233;Vulkaneifel, Landkreis;704;749;1103;1776;1120;843;1903;1580;1450;1591;2193;2593;2525;2196;1850;3487;2708;635;732;1051;1720;1108;785;1569;1444;1511;1687;2141;2523;2292;2166;1759;3695;4078
31.12.2010;07235;Trier-Saarburg, Landkreis;1854;1891;2637;3927;2546;1749;3984;3857;3746;4354;6209;6577;5693;5252;3904;6885;4810;1752;1749;2563;3782;2461;1517;3840;3647;3989;4499;5938;6217;5487;4991;3765;7476;8098
31.12.2010;07311;Frankenthal (Pfalz), kreisfreie Stadt;583;568;831;1119;709;495;1460;1337;1411;1367;1936;1880;1885;1543;1296;2631;1906;554;548;742;1119;681;508;1325;1359;1261;1320;1706;1787;1778;1614;1391;3107;3036
31.12.2010;07312;Kaiserslautern, kreisfreie Stadt;1176;1206;1510;2186;1294;1140;4956;4247;3221;2916;3808;4676;3734;3219;2507;4832;3537;1172;1039;1439;1928;1277;1128;3890;3525;2849;2628;3347;3885;3552;3238;2762;5682;5678
31.12.2010;07313;Landau in der Pfalz, kreisfreie Stadt;568;530;744;1048;660;472;1506;1446;1205;1349;1812;1850;1652;1347;1079;2026;1352;506;548;708;991;610;547;2038;1543;1276;1330;1920;1928;1586;1345;1181;2365;2547
31.12.2010;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2340;2324;3072;3925;2499;1829;5255;5120;5243;5486;7098;7515;6358;5008;4486;8411;6014;2306;2214;2737;3887;2342;1776;5192;5316;4972;5000;6199;6598;5755;5154;4481;9229;9210
31.12.2010;07315;Mainz, kreisfreie Stadt;2741;2555;3241;4123;2457;1737;7637;9072;7674;6797;8120;8070;6495;5455;4820;8923;5943;2542;2368;3036;3816;2368;1948;10432;10082;7707;6403;7425;7563;6660;5780;5032;10205;10010
31.12.2010;07316;Neustadt an der Weinstraße, kreisfreie Stadt;640;670;936;1240;791;587;1488;1432;1256;1360;1998;2254;2219;1809;1507;2897;2246;617;617;872;1265;770;625;1450;1439;1311;1360;2048;2291;2176;1906;1638;3401;3739
31.12.2010;07317;Pirmasens, kreisfreie Stadt;458;493;657;913;645;460;1224;1091;1059;1068;1507;1666;1637;1446;1193;2300;1843;457;411;597;893;585;481;1135;961;983;1022;1385;1622;1533;1469;1236;2761;3193
31.12.2010;07318;Speyer, kreisfreie Stadt;668;681;904;1241;791;496;1393;1490;1353;1520;2080;2170;1997;1686;1378;2469;1661;652;603;878;1201;747;547;1351;1378;1524;1536;2050;2162;2012;1759;1555;2922;3002
31.12.2010;07319;Worms, kreisfreie Stadt;1097;1113;1439;2033;1235;899;2709;2603;2518;2584;3337;3512;3201;2680;2283;4010;2673;1039;1072;1443;1887;1226;965;2809;2666;2490;2499;3017;3306;3135;2785;2382;4459;4630
31.12.2010;07320;Zweibrücken, kreisfreie Stadt;367;389;611;846;611;400;1164;1086;967;926;1265;1367;1317;1224;957;1839;1364;378;374;540;851;470;336;968;929;914;936;1178;1308;1403;1263;983;2133;2280
31.12.2010;07331;Alzey-Worms, Landkreis;1546;1637;2515;3676;2252;1632;3645;3248;3256;3584;5262;5792;5403;4827;3739;5823;4030;1438;1553;2371;3438;2073;1468;3365;3029;3331;3791;5311;5772;5396;4582;3477;6021;6477
31.12.2010;07332;Bad Dürkheim, Landkreis;1500;1566;2340;3551;2284;1601;3502;2920;3061;3557;5550;6122;5552;4857;4174;7695;5203;1372;1439;2267;3372;2077;1454;3100;2919;3190;3828;5551;6032;5524;4873;4344;8317;8063
31.12.2010;07333;Donnersbergkreis;870;974;1530;2157;1344;942;2343;1960;1935;2186;2997;3508;3156;2985;2248;3681;2779;901;975;1390;2144;1246;902;1980;1826;1991;2264;2934;3320;3201;2767;2144;3960;4338
31.12.2010;07334;Germersheim, Landkreis;1634;1779;2483;3411;2186;1589;3862;3614;3434;3719;5141;5849;5158;4396;3467;6224;3759;1500;1603;2160;3378;2169;1451;3885;3507;3518;3858;5232;5673;5059;4289;3381;6485;5985
31.12.2010;07335;Kaiserslautern, Landkreis;1256;1351;2046;2958;1873;1375;3151;2717;2604;2922;4048;4722;4476;4048;3043;5340;3890;1209;1206;1873;2781;1874;1247;2862;2765;2783;3054;4032;4664;4402;3834;2905;5933;6184
31.12.2010;07336;Kusel, Landkreis;785;878;1272;1866;1280;918;2147;1895;1772;1900;2784;3280;3152;2928;2265;3783;3097;793;816;1150;1749;1237;824;1877;1752;1724;1971;2649;3040;3053;2732;2120;4280;4833
31.12.2010;07337;Südliche Weinstraße, Landkreis;1240;1248;2051;2858;1886;1289;3123;2679;2717;2924;4533;5134;4585;4067;3349;6008;4168;1146;1262;1793;2807;1770;1261;2803;2580;2632;3145;4372;4859;4468;3917;3375;6333;6620
